,Unnamed: 0,content,score,thumbsUpCount,Application,spam
292,292,mess lỏ vc game thì toàn lỗi,4,1,Messenger,clean
294,294,mã hóa đầu cuối bị rất nhiều lỗi mất tn video cal không đc gửi tn không qua,1,4,Messenger,clean
295,295,ko chia sẻ màn hình đc,1,35,Messenger,clean
298,298,hay bị lỗi không gửi tin nhắn được,1,1,Messenger,clean
299,299,kh cập nhận đc,2,1,Messenger,clean
300,300,mess lỗi quá gửi tin nhắn lâu,1,1,Messenger,clean
305,305,không thể chia sẻ màn hình được mặc dù đã xóa tải lại nhiều lần vẫn không thể chia sẻ,1,3,Messenger,clean
306,306,ko chia sẻ màn hình đc,1,0,Messenger,clean
307,307,ứng dụng tốt nhưng cập nhật quá lâu,3,0,Messenger,clean
310,310,sài rất tốt nhưng ko có ny để nhắn,5,0,Messenger,clean
311,311,iu messenger lém lun,5,0,Messenger,clean
312,312,vào ko đc lỗi quài,1,0,Messenger,clean
313,313,messenger được cập nhập xong giờ đơ lắm .,1,0,Messenger,clean
314,314,lỗi hoài bực luôn ák,2,0,Messenger,clean
315,315,j mà lỗi quài v,1,14,Messenger,clean
316,316,ko gì để chê,5,0,Messenger,clean
317,317,messenger cứ bị lỗi,2,1,Messenger,clean
319,319,ko nắn được,1,1,Messenger,clean
323,323,tôi ko có trạng thái tùy chỉnh,4,0,Messenger,clean
324,324,bị lỗi hình nền mong khắc phục ạ,2,1,Messenger,clean
327,327,thấy messenger tạm ổn,5,0,Messenger,clean
329,329,tn rac hoi nhỉu,4,0,Messenger,clean
330,330,lỗi gửi tin nhắn rồi mess gì mà lỗi miết vậy tr,1,0,Messenger,clean
332,332,mess nhắn kh nhận được tin nhắn phải dô trong mess mới nhận đc,1,0,Messenger,clean
336,336,tai ve hk hien ken may,1,0,Messenger,clean
338,338,không vào đc trang,1,0,Messenger,clean
340,340,bị lỗi quá nhiều bị thiếu icon nữa mong khắc phục,3,5,Messenger,clean
341,341,rât phù hóp,5,0,Messenger,clean
343,343,mess tự nhiên lỗi không gửi được ảnh,1,0,Messenger,clean
344,344,lỗi quài,1,0,Messenger,clean
345,345,không gọi được,1,0,Messenger,clean
347,347,rất tốt nhưng sao tôi kh vào đc nữa này,4,2,Messenger,clean
349,349,ứng dụng rất hay và oke nhé mọi người nên dùng,5,0,Messenger,clean
350,350,cập nhật xong lag kinh khủng,1,2,Messenger,clean
351,351,không share được màn hình,2,0,Messenger,clean
353,353,k ok lam nhung cung tam,4,0,Messenger,clean
354,354,không thấy thông báo tin nhắn mặc dù đã bật chế độ thông báo,2,18,Messenger,clean
355,355,messenger nice,5,0,Messenger,clean
356,356,giao diện đần hơn phiên bản cũ rất nhiều,1,7,Messenger,clean
359,359,tải về mà kh ai nhắn tin,1,0,Messenger,clean
363,363,hay lắm luôn,5,0,Messenger,clean
364,364,mess của tôi dùng hay bị lỗi ghê,3,0,Messenger,clean
365,365,không có trạng thái tùy chỉnh,3,0,Messenger,clean
366,366,mess bị lõi,1,1,Messenger,clean
368,368,ko tải đc lun,1,0,Messenger,clean
369,369,bị lỗi quá nhiều lần,1,0,Messenger,clean
370,370,mes ko nhận được tin nhắn,1,0,Messenger,clean
371,371,dùng điện thoại không gửi đc tin nhắn,2,0,Messenger,clean
376,376,không nhắn tin được .,1,0,Messenger,clean
377,377,meta ra lại ứng dụng messager lite được không chứ messenger lag quá rồi,3,7,Messenger,clean
378,378,mesenger làm ăn dở quá,1,0,Messenger,clean
380,380,mes xóa đi tải lại ko dc,1,0,Messenger,clean
381,381,tốt nhưng nhiều khi bị lỗi,4,1,Messenger,clean
382,382,lỗi xoá tài khoản,1,0,Messenger,clean
383,383,đăng nhập tài khoản toàn báo lỗi,1,0,Messenger,clean
385,385,giàng thị chua,1,0,Messenger,clean
388,388,cũng ok phết,4,0,Messenger,clean
389,389,cr ko chiu nt,1,0,Messenger,clean
391,391,đăng nhập hơi lag ạ,4,14,Messenger,clean
394,394,ảnh và video bị mờ,4,1,Messenger,clean
396,396,cx oke,4,0,Messenger,clean
399,399,mess lỗi quá onl cả ngày mà kh ai nhén mong khắc phục nhanh chóng,1,5,Messenger,clean
402,402,nhiều lỗi khó chịu và khắc phục rất lâu và lại tái lại,1,0,Messenger,clean
403,403,lỗi nhiều khi gửi vd quá,3,0,Messenger,clean
404,404,ko vào đc,1,16,Messenger,clean
407,407,thg xuyên lỗi,5,1,Messenger,clean
409,409,ứng dụng quá lỗi về xem video,1,2,Messenger,clean
410,410,k cài đặt đ,1,0,Messenger,clean
411,411,mess lỗi ib không được ạ,1,0,Messenger,clean
412,412,bị lổi tải về không mở ra đuợc,5,0,Messenger,clean
415,415,ko chia sẻ màng hình đc,3,0,Messenger,clean
416,416,ứng dụng này bị lỗi là bấm điện qua người khác không được mà người khác bấm điện qua được mà nếu mà sản xuất ứng dụng này không được xóa bỏ luôn đi,1,5,Messenger,clean
417,417,lâu lâu hơi lag ạ,3,0,Messenger,clean
418,418,chất luong kém gọi ưa bị đứng hình,3,6,Messenger,clean
420,420,dang nhap lai,5,0,Messenger,clean
423,423,nhiều lỗi quá tr lun í,1,5,Messenger,clean
425,425,tốt lắm mọi người đều sử dụng nhé,5,0,Messenger,clean
426,426,ứng dụng xài rất oke,5,51,Messenger,clean
427,427,tự động mất tin nhắn chả hiểu làm ăn kiểu gì,1,1,Messenger,clean
428,428,lôi tum lum vây,1,2,Messenger,clean
430,430,mess tồi,1,0,Messenger,clean
431,431,gặp lỗi hoài v,1,0,Messenger,clean
435,435,cập nhật cũng không đc hay thiệt,1,0,Messenger,clean
436,436,tốt lắm nha,5,0,Messenger,clean
437,437,game chơi mượt ok,5,0,Messenger,clean
438,438,nch chả nghe,2,0,Messenger,clean
439,439,tải về nhưng kh có ghệ để nhắn,1,1,Messenger,clean
440,440,dùng cứ bị lỗi,1,0,Messenger,clean
441,441,sao bị lỗi vài dị .,2,0,Messenger,clean
444,444,cứ bj văng ra khong nt đc,4,0,Messenger,clean
445,445,mes bị lỗi hiện ko thể nhắn tin hoài,1,1,Messenger,clean
447,447,ap hay bị lỗi,2,0,Messenger,clean
448,448,tốt tốt,5,0,Messenger,clean
449,449,áp lỗi vào ko được,1,1,Messenger,clean
451,451,rất ok la nha nên dùng,5,0,Messenger,clean
452,452,tot rat tot .,3,0,Messenger,clean
453,453,cx vui và tiện,5,0,Messenger,clean
454,454,khong up str được,1,2,Messenger,clean
456,456,mess lỗi nt ko gửi được gì cả,1,0,Messenger,clean
458,458,message đag bị lỗi đăng nhập và cài đặt,1,0,Messenger,clean
459,459,trên cả tuyệt vời rồi,5,0,Messenger,clean
460,460,mess lỗi gửi tin nhắn lâu quá,1,236,Messenger,clean
461,461,messenger bị lỗi hoài vậy mog nhà phát hành khắc phục,1,1,Messenger,clean
462,462,rất tệ ko gửi được tin nhắn xoá đi tải lại nhiều lần vẫn vậy,1,0,Messenger,clean
464,464,sao giờ mes nó kh có filter zậy,3,0,Messenger,clean
465,465,messenger bị lỗi hông lòng,1,0,Messenger,clean
466,466,đg xài ngon lành thì ko xài đc nữa,1,0,Messenger,clean
470,470,nhánh chống hiện đại,5,0,Messenger,clean
472,472,máy của tôi ko nhận đc tin nhắn,2,0,Messenger,clean
474,474,đc ok,5,0,Messenger,clean
475,475,ko điện đc,3,0,Messenger,clean
478,478,không thể tìm lại tin nhắn cũ,2,2,Messenger,clean
481,481,messenger hay gặp sợ cố,4,1,Messenger,clean
482,482,không có fiter để dùng,3,0,Messenger,clean
483,483,tạm được còn nhiều vấn đề bất cập,3,0,Messenger,clean
485,485,10điểm không có nhưng,5,0,Messenger,clean
491,491,tốt nhưng mà hay lỗi,5,0,Messenger,clean
494,494,toàn bị văng khỏi tk,1,0,Messenger,clean
495,495,tải về ma kh có ai ib la sao,2,0,Messenger,clean
497,497,ko thể tải đc,1,0,Messenger,clean
500,500,chia sẻ màng hình không được,1,3,Messenger,clean
502,502,không vào được tại sao messenger của tôi không nhận wifi và không nhận 4g,1,3,Messenger,clean
503,503,nhắn tin không được,1,1,Messenger,clean
504,504,văng cái vô kdc là sao dị .,1,0,Messenger,clean
505,505,dạo này bị lỗi gửi tin nhắn rất nhiều gửi tin nhắn không được,1,0,Messenger,clean
506,506,mess sử dụng lag,1,0,Messenger,clean
507,507,ko ib đc,1,1,Messenger,clean
508,508,message bị lỗi hiệu ứng đen ko thấy mặt,2,0,Messenger,clean
509,509,quá tệ bị lỗi hoài,2,0,Messenger,clean
510,510,hay bị lỗi nhiều,1,0,Messenger,clean
513,513,đang xem phim sẽ bị hết pin mong khắc phục .,1,5,Messenger,clean
516,516,mes lỗi vãi ra chuyển tài khoản xong rồi ko vào đc mes nữa,1,0,Messenger,clean
517,517,tin nhắn đến không báo,1,0,Messenger,clean
519,519,tôi không thể nghe được voice,5,0,Messenger,clean
522,522,ứng dụng liên tục lỗi,1,15,Messenger,clean
524,524,cập nhật thì cập nhật quài mà lỗi thì vẫn cứ lỗi,1,1,Messenger,clean
525,525,ứng dụng tốt thật sự ạ,5,0,Messenger,clean
526,526,mong tin nhắn chưa đọc bên màn hình sáng đậm lên một chút rất khó thấy tin nhắn,5,0,Messenger,clean
529,529,mes lỗi gọi,1,0,Messenger,clean
530,530,rất hây tuyệt vời nhất,5,0,Messenger,clean
532,532,đang chơi liên quân thì bị dập nguồn mong khắc phục,1,0,Messenger,clean
533,533,đang ĩa coi đthoai mà hết pin quá thất vọng,1,0,Messenger,clean
534,534,đang nhắn tin điện thoại sập nguồn mong nhà sản xuất sớm khắc phục,1,0,Messenger,clean
539,539,ko share màn hình được,1,2,Messenger,clean
540,540,mess lỗi không có ai nt luôn,1,0,Messenger,clean
542,542,nó rất là lắt lắm luôn tôi dùm mà muống tập điện thoại luôn,1,5,Messenger,clean
543,543,bị lỗi hoài luôn á,1,3,Messenger,clean
544,544,hơi lag nhe,4,0,Messenger,clean
548,548,rất hây và ok nhung sao bây jo lại không vô được cứ sẩy ra lỗi,3,0,Messenger,clean
550,550,bong bóng chat bắt đầu hay bị lỗi nha,5,0,Messenger,clean
551,551,hay bị văng ra giật lag còn đơ,2,0,Messenger,clean
553,553,tôi không nghe rõ,1,0,Messenger,clean
557,557,điện thoát ra nó lại tắt .,1,0,Messenger,clean
560,560,không chia sẽ màn hình được,3,0,Messenger,clean
563,563,sao hnay xóa đi tải lại đăng nhập cứ bị lỗi,1,5,Messenger,clean
566,566,sài tốt,5,0,Messenger,clean
567,567,mes cứ lỗi hoài,3,0,Messenger,clean
568,568,mess lỗi ko gọi dc,1,3,Messenger,clean
570,570,messenger ko sài được cứ quay vòng vòng liên tục trong 30 ph,1,4,Messenger,clean
572,572,đúng với mô tả,5,0,Messenger,clean
575,575,sao ko gọi đc,2,0,Messenger,clean
576,576,bị lỗi quá nhiều,2,0,Messenger,clean
577,577,sao lúc gọi ng thì đc có người thì khác tắt,1,0,Messenger,clean
580,580,êm ái và chề vì thế bạn,1,0,Messenger,clean
582,582,điện thoại không được,1,0,Messenger,clean
583,583,cứ bị lỗi khó chịu vãi,1,0,Messenger,clean
584,584,1 sao vì nhắn ko qua,1,0,Messenger,clean
586,586,"ứng dụng rất tốt đối với tôi ,",5,2,Messenger,clean
587,587,nhắn tin thì mạng thất thường,1,0,Messenger,clean
589,589,hk điện đc,3,0,Messenger,clean
590,590,ứng dụng này ko liên kết fb chắc ko ai sài,1,0,Messenger,clean
591,591,máy vào lag,4,0,Messenger,clean
595,595,đùng được,4,0,Messenger,clean
597,597,đôi khi bị lỗi vc ra bực,3,0,Messenger,clean
598,598,sao ko nhận đc thông báo z,3,0,Messenger,clean
599,599,phần dán nhãn không có,1,0,Messenger,clean
604,604,tai lau va wifi ma lau nhu,4,2,Messenger,clean
606,606,lỗi hình ảnh hoài,1,0,Messenger,clean
608,608,lỏ cứk,1,0,Messenger,clean
612,612,lỗi quài lỗi miết,1,0,Messenger,clean
613,613,bớt lỗi lại là ok,5,2,Messenger,clean
614,614,tìm tin nhắn lại không được luôn mess lỗi quài luôn đi .,1,0,Messenger,clean
617,617,không dô đc,1,0,Messenger,clean
618,618,làm cách nào cũng không gọi được,4,1,Messenger,clean
619,619,ko chơi đc,1,0,Messenger,clean
622,622,ứng dụng quá ok luôn,5,4,Messenger,clean
623,623,nó cũng tốt,3,0,Messenger,clean
625,625,hay gọi video lỗi mất filter,1,0,Messenger,clean
626,626,bị lỗi hoài bực cả mình thoát ra đăng nhập lại vẫn bị lỗi,4,23,Messenger,clean
628,628,trái nghiệm tốt,5,0,Messenger,clean
629,629,xúc xắc,5,0,Messenger,clean
634,634,thật thất vọng khi không ra chủ đề sikibidi toilet với phi phai,1,0,Messenger,clean
636,636,tải đc mà ko cho vào,1,0,Messenger,clean
637,637,thiệt lun mess cứ lỗi hoài,1,1,Messenger,clean
640,640,toi khong tai ung dung messenger ve may cua toi duoc .,1,1,Messenger,clean
641,641,bị lỗi xoá tải lại xong bị mấy icon,4,0,Messenger,clean
644,644,lỗi mất mạng,1,0,Messenger,clean
646,646,tệkh gửi đc tin nhắn là đủ hiểu r,1,1,Messenger,clean
647,647,1 sao tải về ko nhắn đc,1,1,Messenger,clean
648,648,đăng xuất ra rồi vô ko đc lại gửi đúng mật khẩu mà bị lỗi hoài,1,1,Messenger,clean
649,649,lỗi không nhắn tin được,2,1,Messenger,clean
650,650,tui ko vào đc nick á,2,0,Messenger,clean
651,651,messenger hay lỗi không nhắn tin được mong khắc phục ạ,1,0,Messenger,clean
652,652,ứng dụng hay,5,1,Messenger,clean
653,653,đã tải ứng dụng rồi nhưng sao ko thấy hiện thị trên màn hình nhỉ,4,1,Messenger,clean
654,654,đg nhắn tự nhiên ko gửi đc trg khi đấy mạng bình thường,1,7,Messenger,clean
656,656,10 đỉm ạ,5,0,Messenger,clean
661,661,mess voice kỉu chi,3,0,Messenger,clean
663,663,thoát ra ngoài là bị lag không thoát ra được,1,5,Messenger,clean
664,664,ko hiện bóng chat,1,0,Messenger,clean
665,665,message này quá tốt,5,1,Messenger,clean
666,666,xem tin nhắn la bị thoát ra,1,0,Messenger,clean
669,669,bị lỗi thông báo hoài,1,10,Messenger,clean
670,670,tải về hk ai nhắn tin cả mong nhà phát hành nâng cấp thêm,1,4,Messenger,clean
671,671,lỗi tùm lum luon,1,1,Messenger,clean
672,672,ứng dụng chạy quá chậm,1,8,Messenger,clean
673,673,đo đăng nhập đc,1,1,Messenger,clean
674,674,dạo này mess hay lỗi,3,0,Messenger,clean
675,675,ko thể chia sẻ màn hình,1,0,Messenger,clean
676,676,gọi ko nghe chuông tn đến ko báo,2,0,Messenger,clean
679,679,cái gì vậy ko chia sẻ màn hình được dạo này mess lỗi tùm lum vậy,1,0,Messenger,clean
680,680,có tin nhắn tới không có báo,1,1,Messenger,clean
684,684,má nhắn cả từ tối tới sáng không qua,1,0,Messenger,clean
686,686,lỗi hoài bực ghê,1,0,Messenger,clean
694,694,tốt cs nhìu ny,5,0,Messenger,clean
696,696,thi thoảng vẫn lag tin nhắn cũ không reset tin nhắn mới,2,0,Messenger,clean
697,697,ap treo không làm gì được,1,1,Messenger,clean
698,698,k hiểu sao ngày càng lỗi .,1,0,Messenger,clean
701,701,lỗi hơi bị nhìu,1,1,Messenger,clean
702,702,gọi tự động tắt báo không gọi đc đc là sao,1,0,Messenger,clean
703,703,gọi bạn bè ko đc,3,1,Messenger,clean
704,704,quá tốt ạ,5,0,Messenger,clean
705,705,cứ bị lỗi,2,0,Messenger,clean
706,706,đang nhắn tự nhiên ko đc,1,0,Messenger,clean
708,708,messenger này lỗi nhiều quá,1,0,Messenger,clean
709,709,ko dùng filter đc,1,1,Messenger,clean
711,711,lỗi òi nha ko vô được,1,1,Messenger,clean
712,712,cập nhật lại mà bị mất fto,1,0,Messenger,clean
716,716,lag vãi òm,3,0,Messenger,clean
720,720,kh đăng nhập đc,1,1,Messenger,clean
722,722,không nhắn tin được ứng dụng bị lỗi,1,3,Messenger,clean
723,723,ko có ft là sao tr,1,2,Messenger,clean
725,725,toàn bị lag,1,0,Messenger,clean
728,728,lỗi nhiều vai,1,1,Messenger,clean
729,729,k chặn nhưng ngkh kh nt đc cho mik,1,11,Messenger,clean
730,730,nt nhiều hơi đơ,4,0,Messenger,clean
732,732,lỗi wa nhiều,1,1,Messenger,clean
735,735,mất tin nhắn cũ thường xuyên lỗi,1,0,Messenger,clean
736,736,face sang mess đc mà sao ko làm ngược lại đc vậy,1,0,Messenger,clean
737,737,lỗi đủ đường,1,1,Messenger,clean
739,739,lỗi quá trời ko gọi đc các kiểu,1,6,Messenger,clean
741,741,bị lỗi thất thường,1,0,Messenger,clean
742,742,ko nhắn đc nhưng vẫn nhắn đc,5,0,Messenger,clean
743,743,mess dạo này lỗi vãi xóa đi tải lại mới nt được,1,0,Messenger,clean
745,745,điện nó cứ bị giựt giựt,1,0,Messenger,clean
747,747,còn ứng dụng ma ko vô đc xóa cũng ko đc,1,0,Messenger,clean
749,749,ron tuc thoi su quoc te,5,0,Messenger,clean
752,752,mess bị lỗi không gọi được mong nhà sản xuất khắc phục nhanh ạ,4,6,Messenger,clean
754,754,cập nhật hoài mà cũng lỗi hoài dị cập nhật kiểm tra cho kỹ chứ lỗi hoài sao dùng .,1,33,Messenger,clean
755,755,ảnh gửi mờ lém,4,0,Messenger,clean
756,756,ko có fto như,1,2,Messenger,clean
757,757,ko soạn đc tn lỗi vc,1,8,Messenger,clean
758,758,rất tệ đề nghị phục hồi lại nka .,1,0,Messenger,clean
760,760,lỗi thường xuyên quá,4,4,Messenger,clean
761,761,lỗi liên tục ko gửi tn dc gửi dc thì quá chậm .,1,2,Messenger,clean
764,764,rats đc,5,0,Messenger,clean
767,767,tùy nh cũn đc,3,0,Messenger,clean
768,768,dùng nó rất có ích,5,4,Messenger,clean
